"Plot Title: 10442660"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10442660, SEN S/N: 10442660)","Coupler Attached (LGR S/N: 10442660)","Coupler Detached (LGR S/N: 10442660)","Host Connected (LGR S/N: 10442660)","Stopped (LGR S/N: 10442660)","End Of File (LGR S/N: 10442660)"
1,07/20/14 08:00:00 AM,69.278,,,,,
2,07/20/14 08:30:00 AM,74.271,,,,,
3,07/20/14 09:00:00 AM,77.749,,,,,
4,07/20/14 09:30:00 AM,76.876,,,,,
5,07/20/14 10:00:00 AM,76.703,,,,,
6,07/20/14 10:30:00 AM,76.181,,,,,
7,07/20/14 11:00:00 AM,76.876,,,,,
8,07/20/14 11:30:00 AM,75.659,,,,,
9,07/20/14 12:00:00 PM,74.619,,,,,
10,07/20/14 12:30:00 PM,73.062,,,,,
11,07/20/14 01:00:00 PM,72.372,,,,,
12,07/20/14 01:30:00 PM,72.028,,,,,
13,07/20/14 02:00:00 PM,71.856,,,,,
14,07/20/14 02:30:00 PM,71.683,,,,,
15,07/20/14 03:00:00 PM,71.339,,,,,
16,07/20/14 03:30:00 PM,70.824,,,,,
17,07/20/14 04:00:00 PM,70.308,,,,,
18,07/20/14 04:30:00 PM,69.107,,,,,
19,07/20/14 05:00:00 PM,56.750,,,,,
20,07/20/14 05:30:00 PM,61.398,,,,,
21,07/20/14 06:00:00 PM,63.111,,,,,
22,07/20/14 06:30:00 PM,64.481,,,,,
23,07/20/14 07:00:00 PM,66.193,,,,,
24,07/20/14 07:30:00 PM,63.455,,,,,
25,07/20/14 08:00:00 PM,62.083,,,,,
26,07/20/14 08:30:00 PM,61.054,,,,,
27,07/20/14 09:00:00 PM,60.368,,,,,
28,07/20/14 09:30:00 PM,60.195,,,,,
29,07/20/14 10:00:00 PM,59.851,,,,,
30,07/20/14 10:30:00 PM,59.680,,,,,
31,07/20/14 11:00:00 PM,59.851,,,,,
32,07/20/14 11:30:00 PM,59.680,,,,,
33,07/21/14 12:00:00 AM,59.851,,,,,
34,07/21/14 12:30:00 AM,59.680,,,,,
35,07/21/14 01:00:00 AM,59.680,,,,,
36,07/21/14 01:30:00 AM,59.337,,,,,
37,07/21/14 02:00:00 AM,59.164,,,,,
38,07/21/14 02:30:00 AM,58.993,,,,,
39,07/21/14 03:00:00 AM,58.820,,,,,
40,07/21/14 03:30:00 AM,58.647,,,,,
41,07/21/14 04:00:00 AM,58.303,,,,,
