"Plot Title: 10442664"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10442664, SEN S/N: 10442664)","Coupler Attached (LGR S/N: 10442664)","Host Connected (LGR S/N: 10442664)","Stopped (LGR S/N: 10442664)","End Of File (LGR S/N: 10442664)"
1,07/20/14 08:00:00 AM,69.793,,,,
2,07/20/14 08:30:00 AM,75.139,,,,
3,07/20/14 09:00:00 AM,78.274,,,,
4,07/20/14 09:30:00 AM,77.400,,,,
5,07/20/14 10:00:00 AM,77.050,,,,
6,07/20/14 10:30:00 AM,76.354,,,,
7,07/20/14 11:00:00 AM,81.975,,,,
8,07/20/14 11:30:00 AM,80.382,,,,
9,07/20/14 12:00:00 PM,77.749,,,,
10,07/20/14 12:30:00 PM,74.964,,,,
11,07/20/14 01:00:00 PM,73.407,,,,
12,07/20/14 01:30:00 PM,72.891,,,,
13,07/20/14 02:00:00 PM,72.372,,,,
14,07/20/14 02:30:00 PM,72.028,,,,
15,07/20/14 03:00:00 PM,71.512,,,,
16,07/20/14 03:30:00 PM,70.995,,,,
17,07/20/14 04:00:00 PM,70.480,,,,
18,07/20/14 04:30:00 PM,68.934,,,,
19,07/20/14 05:00:00 PM,67.906,,,,
20,07/20/14 05:30:00 PM,67.735,,,,
21,07/20/14 06:00:00 PM,67.906,,,,
22,07/20/14 06:30:00 PM,68.248,,,,
23,07/20/14 07:00:00 PM,68.077,,,,
24,07/20/14 07:30:00 PM,67.392,,,,
25,07/20/14 08:00:00 PM,66.366,,,,
26,07/20/14 08:30:00 PM,64.996,,,,
27,07/20/14 09:00:00 PM,63.455,,,,
28,07/20/14 09:30:00 PM,62.254,,,,
29,07/20/14 10:00:00 PM,61.227,,,,
30,07/20/14 10:30:00 PM,60.539,,,,
31,07/20/14 11:00:00 PM,60.024,,,,
32,07/20/14 11:30:00 PM,59.680,,,,
33,07/21/14 12:00:00 AM,59.508,,,,
34,07/21/14 12:30:00 AM,59.164,,,,
35,07/21/14 01:00:00 AM,58.820,,,,
36,07/21/14 01:30:00 AM,58.476,,,,
37,07/21/14 02:00:00 AM,58.131,,,,
38,07/21/14 02:30:00 AM,57.958,,,,
39,07/21/14 03:00:00 AM,57.785,,,,
40,07/21/14 03:30:00 AM,57.614,,,,
41,07/21/14 04:00:00 AM,57.614,,,,
42,07/21/14 04:30:00 AM,57.441,,,,
43,07/21/14 05:00:00 AM,57.441,,,,
44,07/21/14 05:30:00 AM,57.268,,,,
45,07/21/14 06:00:00 AM,57.268,,,,
46,07/21/14 06:30:00 AM,57.268,,,,
47,07/21/14 07:00:00 AM,57.441,,,,
48,07/21/14 07:30:00 AM,57.614,,,,
49,07/21/14 08:00:00 AM,57.958,,,,
50,07/21/14 08:30:00 AM,58.303,,,,
51,07/21/14 09:00:00 AM,58.820,,,,
52,07/21/14 09:30:00 AM,59.337,,,,
53,07/21/14 10:00:00 AM,60.195,,,,
54,07/21/14 10:30:00 AM,61.398,,,,
55,07/21/14 11:00:00 AM,62.940,,,,
56,07/21/14 11:30:00 AM,64.481,,,,
57,07/21/14 12:00:00 PM,65.851,,,,
58,07/21/14 12:30:00 PM,67.221,,,,
59,07/21/14 01:00:00 PM,68.592,,,,
60,07/21/14 01:30:00 PM,69.449,,,,
61,07/21/14 02:00:00 PM,69.793,,,,
62,07/21/14 02:30:00 PM,70.308,,,,
63,07/21/14 03:00:00 PM,70.995,,,,
64,07/21/14 03:30:00 PM,71.683,,,,
65,07/21/14 04:00:00 PM,72.199,,,,
66,07/21/14 04:30:00 PM,72.028,,,,
67,07/21/14 05:00:00 PM,55.884,,,,
68,07/21/14 05:30:00 PM,54.842,,,,
69,07/21/14 06:00:00 PM,54.669,,,,
70,07/21/14 06:30:00 PM,55.537,,,,
71,07/21/14 07:00:00 PM,57.268,,,,
72,07/21/14 07:30:00 PM,57.096,,,,
73,07/21/14 08:00:00 PM,54.495,,,,
74,07/21/14 08:30:00 PM,54.669,,,,
75,07/21/14 09:00:00 PM,55.189,,,,
76,07/21/14 09:30:00 PM,55.537,,,,
77,07/21/14 10:00:00 PM,55.189,,,,
78,07/21/14 10:30:00 PM,55.017,,,,
79,07/21/14 11:00:00 PM,54.842,,,,
80,07/21/14 11:30:00 PM,54.669,,,,
81,07/22/14 12:00:00 AM,54.669,,,,
82,07/22/14 12:30:00 AM,55.711,,,,
83,07/22/14 01:00:00 AM,56.230,,,,
84,07/22/14 01:30:00 AM,56.923,,,,
85,07/22/14 02:00:00 AM,57.268,,,,
86,07/22/14 02:30:00 AM,57.441,,,,
87,07/22/14 03:00:00 AM,56.750,,,,
88,07/22/14 03:30:00 AM,56.577,,,,
89,07/22/14 04:00:00 AM,56.230,,,,
90,07/22/14 04:30:00 AM,56.923,,,,
91,07/22/14 05:00:00 AM,55.537,,,,
92,07/22/14 05:30:00 AM,55.537,,,,
93,07/22/14 06:00:00 AM,57.614,,,,
94,07/22/14 06:30:00 AM,56.404,,,,
95,07/22/14 07:00:00 AM,54.842,,,,
96,07/22/14 07:30:00 AM,52.576,,,,
97,07/22/14 08:00:00 AM,52.050,,,,
98,07/22/14 08:30:00 AM,51.874,,,,
99,07/22/14 09:00:00 AM,50.819,,,,
100,07/22/14 09:30:00 AM,52.750,,,,
101,07/22/14 10:00:00 AM,52.225,,,,
102,07/22/14 10:30:00 AM,53.449,,,,
103,07/22/14 11:00:00 AM,54.669,,,,
104,07/22/14 11:30:00 AM,54.147,,,,
105,07/22/14 12:00:00 PM,55.884,,,,
106,07/22/14 12:30:00 PM,56.404,,,,
107,07/22/14 01:00:00 PM,56.750,,,,
108,07/22/14 01:30:00 PM,57.785,,,,
109,07/22/14 02:00:00 PM,58.993,,,,
110,07/22/14 02:30:00 PM,59.851,,,,
111,07/22/14 03:00:00 PM,59.680,,,,
112,07/22/14 03:30:00 PM,59.164,,,,
113,07/22/14 04:00:00 PM,56.923,,,,
114,07/22/14 04:30:00 PM,56.230,,,,
115,07/22/14 05:00:00 PM,55.537,,,,
116,07/22/14 05:30:00 PM,55.189,,,,
117,07/22/14 06:00:00 PM,54.842,,,,
118,07/22/14 06:30:00 PM,54.842,,,,
119,07/22/14 07:00:00 PM,54.842,,,,
120,07/22/14 07:30:00 PM,54.669,,,,
121,07/22/14 08:00:00 PM,54.842,,,,
122,07/22/14 08:30:00 PM,55.537,,,,
123,07/22/14 09:00:00 PM,55.189,,,,
124,07/22/14 09:30:00 PM,56.230,,,,
125,07/22/14 10:00:00 PM,56.057,,,,
126,07/22/14 10:30:00 PM,55.537,,,,
127,07/22/14 11:00:00 PM,56.404,,,,
128,07/22/14 11:30:00 PM,57.441,,,,
129,07/23/14 12:00:00 AM,58.131,,,,
130,07/23/14 12:30:00 AM,58.131,,,,
131,07/23/14 01:00:00 AM,58.303,,,,
132,07/23/14 01:30:00 AM,58.820,,,,
133,07/23/14 02:00:00 AM,58.647,,,,
134,07/23/14 02:30:00 AM,58.647,,,,
135,07/23/14 03:00:00 AM,58.993,,,,
136,07/23/14 03:30:00 AM,58.993,,,,
137,07/23/14 04:00:00 AM,58.820,,,,
138,07/23/14 04:30:00 AM,58.476,,,,
139,07/23/14 05:00:00 AM,57.785,,,,
140,07/23/14 05:30:00 AM,57.268,,,,
141,07/23/14 06:00:00 AM,57.096,,,,
142,07/23/14 06:30:00 AM,56.057,,,,
143,07/23/14 07:00:00 AM,55.537,,,,
144,07/23/14 07:30:00 AM,56.230,,,,
145,07/23/14 08:00:00 AM,55.189,,,,
146,07/23/14 08:30:00 AM,55.537,,,,
147,07/23/14 09:00:00 AM,55.884,,,,
148,07/23/14 09:30:00 AM,55.537,,,,
149,07/23/14 10:00:00 AM,55.364,,,,
150,07/23/14 10:30:00 AM,54.669,,,,
151,07/23/14 11:00:00 AM,54.147,,,,
152,07/23/14 11:30:00 AM,53.973,,,,
153,07/23/14 12:00:00 PM,53.973,,,,
154,07/23/14 12:30:00 PM,53.798,,,,
155,07/23/14 01:00:00 PM,54.842,,,,
156,07/23/14 01:30:00 PM,56.057,,,,
157,07/23/14 02:00:00 PM,57.268,,,,
158,07/23/14 02:30:00 PM,57.441,,,,
159,07/23/14 03:00:00 PM,57.785,,,,
160,07/23/14 03:30:00 PM,58.647,,,,
161,07/23/14 04:00:00 PM,58.820,,,,
162,07/23/14 04:30:00 PM,57.958,,,,
163,07/23/14 05:00:00 PM,57.614,,,,
164,07/23/14 05:30:00 PM,57.096,,,,
